"","ID","FLAG_P"
"1",3,0
"2",6,0
"3",10,0
"4",15,0
"5",26,0
"6",35,0
"7",40,0
"8",42,0
"9",45,0
"10",47,0
"11",48,0
"12",51,0
"13",62,0
"14",64,0
"15",68,0
"16",71,0
"17",78,0
"18",81,0
"19",85,0
"20",89,0
"21",94,0
"22",97,0
"23",101,0
"24",105,0
"25",107,0
"26",108,0
"27",109,0
"28",126,0
"29",127,0
"30",132,0
"31",133,0
"32",135,0
"33",136,0
"34",139,0
"35",141,0
"36",142,0
"37",153,0
"38",158,0
"39",163,0
"40",167,0
"41",170,0
"42",175,0
"43",180,0
"44",182,0
"45",183,0
"46",188,0
"47",193,0
"48",199,0
"49",200,0
"50",203,0
"51",205,0
"52",210,0
"53",212,0
"54",216,0
"55",217,0
"56",220,0
"57",221,0
"58",222,0
"59",223,0
"60",227,0
"61",229,0
"62",232,0
"63",236,0
"64",237,0
"65",240,0
"66",241,0
"67",247,0
"68",251,0
"69",253,0
"70",254,0
"71",255,0
"72",256,0
"73",270,0
"74",272,0
"75",277,0
"76",279,0
"77",280,0
"78",282,0
"79",285,0
"80",287,0
"81",298,0
"82",301,0
"83",302,1
"84",311,0
"85",312,0
"86",313,0
"87",322,0
"88",332,0
"89",335,0
"90",346,0
"91",355,0
"92",358,0
"93",360,0
"94",366,0
"95",369,0
"96",374,0
"97",380,0
"98",381,0
"99",385,0
"100",389,0
"101",390,0
"102",396,0
"103",403,0
"104",407,0
"105",412,0
"106",414,0
"107",415,0
"108",423,0
"109",425,0
"110",430,0
"111",434,0
"112",435,0
"113",438,0
"114",447,0
"115",457,0
"116",458,0
"117",463,0
"118",468,0
"119",469,0
"120",472,0
"121",473,0
"122",474,0
"123",475,0
"124",477,0
"125",480,0
"126",481,0
"127",482,0
"128",484,0
"129",492,0
"130",495,0
"131",496,0
"132",498,0
"133",506,0
"134",508,0
"135",512,0
"136",516,0
"137",517,0
"138",520,0
"139",536,0
"140",540,0
"141",544,0
"142",546,0
"143",554,0
"144",561,0
"145",564,0
"146",565,0
"147",566,0
"148",569,0
"149",573,0
"150",578,0
"151",584,0
"152",585,0
"153",598,0
"154",600,0
"155",601,0
"156",607,0
"157",609,0
"158",612,0
"159",616,0
"160",618,0
"161",625,0
"162",626,0
"163",629,0
"164",631,0
"165",638,0
"166",641,0
"167",642,0
"168",643,0
"169",644,0
"170",650,0
"171",656,0
"172",658,0
"173",661,0
"174",662,0
"175",666,0
"176",669,0
"177",672,0
"178",681,0
"179",683,0
"180",689,0
"181",690,0
"182",697,0
"183",701,0
"184",708,0
"185",713,0
"186",717,0
"187",719,0
"188",723,0
"189",728,0
"190",731,0
"191",732,0
"192",736,0
"193",738,0
"194",741,0
"195",747,0
"196",751,0
"197",753,0
"198",754,0
"199",756,0
"200",757,0
"201",759,0
"202",761,0
"203",764,0
"204",768,0
"205",772,0
"206",774,0
"207",778,0
"208",786,0
"209",799,0
"210",802,0
"211",808,0
"212",810,0
"213",816,0
"214",817,0
"215",818,0
"216",823,0
"217",824,0
"218",829,0
"219",832,0
"220",833,0
"221",834,0
"222",844,0
"223",845,0
"224",855,0
"225",859,0
"226",862,0
"227",866,0
"228",869,0
"229",870,0
"230",872,0
"231",882,0
"232",883,0
"233",888,0
"234",890,0
"235",891,0
"236",892,0
"237",893,0
"238",897,0
"239",900,0
"240",904,0
"241",906,0
"242",908,0
"243",916,0
"244",928,0
"245",937,0
"246",938,0
"247",939,0
"248",944,0
"249",947,0
"250",951,0
"251",952,0
"252",958,0
"253",960,0
"254",961,0
"255",963,0
"256",966,0
"257",970,0
"258",971,0
"259",976,0
"260",978,0
"261",980,0
"262",985,0
"263",987,0
"264",990,0
"265",991,0
"266",995,0
"267",1005,0
"268",1011,0
"269",1018,0
"270",1019,1
"271",1026,0
"272",1028,0
"273",1032,0
"274",1038,0
"275",1042,0
"276",1043,0
"277",1048,0
"278",1053,0
"279",1060,0
"280",1063,0
"281",1066,0
"282",1067,0
"283",1069,0
"284",1071,0
"285",1073,0
"286",1077,0
"287",1079,0
"288",1083,0
"289",1085,0
"290",1089,0
"291",1097,0
"292",1098,0
"293",1101,0
"294",1107,0
"295",1109,0
"296",1110,0
"297",1119,0
"298",1120,0
"299",1126,0
"300",1127,0
"301",1128,0
"302",1139,0
"303",1141,0
"304",1144,1
"305",1146,0
"306",1147,0
"307",1155,0
"308",1160,0
"309",1166,0
"310",1167,0
"311",1168,0
"312",1169,0
"313",1170,0
"314",1172,0
"315",1176,0
"316",1179,0
"317",1180,0
"318",1181,0
"319",1183,0
"320",1191,0
"321",1195,0
"322",1199,0
"323",1202,0
"324",1204,0
"325",1212,0
"326",1216,0
"327",1218,0
"328",1219,0
"329",1223,0
"330",1234,0
"331",1239,0
"332",1242,0
"333",1256,0
"334",1268,0
"335",1272,0
"336",1273,0
"337",1277,0
"338",1278,0
"339",1280,0
"340",1283,0
"341",1284,0
"342",1288,0
"343",1293,0
"344",1306,0
"345",1313,0
"346",1315,0
"347",1316,0
"348",1317,0
"349",1319,0
"350",1325,0
"351",1326,0
"352",1330,0
"353",1345,0
"354",1346,0
"355",1347,0
"356",1349,0
"357",1352,0
"358",1355,0
"359",1368,0
"360",1373,0
"361",1375,0
"362",1378,0
"363",1384,0
"364",1385,0
"365",1386,0
"366",1388,0
"367",1395,0
"368",1396,0
"369",1397,0
"370",1401,0
"371",1403,0
"372",1404,0
"373",1408,0
"374",1409,0
"375",1411,0
"376",1412,0
"377",1413,0
"378",1414,0
"379",1423,0
"380",1435,0
"381",1438,0
"382",1446,0
"383",1447,0
"384",1448,0
"385",1453,0
"386",1459,0
"387",1460,0
"388",1465,0
"389",1484,0
"390",1489,0
"391",1494,0
"392",1497,0
"393",1499,0
"394",1501,0
"395",1511,0
"396",1531,0
"397",1535,0
"398",1544,0
"399",1547,0
"400",1548,0
"401",1552,0
"402",1556,0
"403",1557,0
"404",1562,0
"405",1568,0
"406",1570,0
"407",1574,0
"408",1586,0
"409",1587,0
"410",1593,0
"411",1594,0
"412",1597,0
"413",1602,0
"414",1603,0
"415",1604,0
"416",1606,0
"417",1611,0
"418",1614,0
"419",1621,0
"420",1622,0
"421",1623,0
"422",1626,0
"423",1641,1
"424",1645,0
"425",1648,0
"426",1651,0
"427",1660,0
"428",1665,0
"429",1670,0
"430",1673,0
"431",1678,0
"432",1695,0
"433",1697,0
"434",1702,0
"435",1706,0
"436",1709,0
"437",1712,0
"438",1714,0
"439",1717,0
"440",1718,0
"441",1720,0
"442",1723,0
"443",1725,0
"444",1728,0
"445",1730,0
"446",1736,0
"447",1737,0
"448",1739,0
"449",1746,0
"450",1747,0
"451",1749,0
"452",1754,0
"453",1757,0
"454",1762,0
"455",1763,0
"456",1764,0
"457",1769,0
"458",1770,0
"459",1777,0
"460",1778,0
"461",1782,0
"462",1784,0
"463",1788,0
"464",1789,0
"465",1791,0
"466",1794,0
"467",1801,0
"468",1805,0
"469",1806,0
"470",1816,0
"471",1822,0
"472",1824,0
"473",1825,0
"474",1849,0
"475",1856,0
"476",1858,0
"477",1863,0
"478",1864,0
"479",1867,0
"480",1876,0
"481",1880,0
"482",1881,0
"483",1885,0
"484",1886,0
"485",1889,0
"486",1892,0
"487",1895,0
"488",1897,0
"489",1899,0
"490",1900,0
"491",1906,0
"492",1908,0
"493",1913,0
"494",1921,0
"495",1923,0
"496",1931,0
"497",1940,0
"498",1942,0
"499",1943,0
"500",1945,0
"501",1952,0
"502",1957,0
"503",1959,0
"504",1961,0
"505",1965,0
"506",1969,0
"507",1978,0
"508",1985,0
"509",1993,0
"510",1994,0
"511",1996,0
"512",1999,0
"513",2005,0
"514",2009,0
"515",2015,0
"516",2025,0
"517",2030,0
"518",2037,0
"519",2043,0
"520",2044,0
"521",2045,0
"522",2046,0
"523",2052,0
"524",2053,0
"525",2061,0
"526",2063,0
"527",2067,0
"528",2068,0
"529",2069,0
"530",2080,0
"531",2081,0
"532",2093,0
"533",2104,0
"534",2105,0
"535",2106,0
"536",2107,0
"537",2108,0
"538",2109,0
"539",2112,0
"540",2114,0
"541",2118,0
"542",2120,0
"543",2123,0
"544",2126,0
"545",2127,0
"546",2128,0
"547",2136,0
"548",2141,0
"549",2143,0
